index,证券代码,今日涨幅%,成交额(亿),close
2026-05-11,001309.XSHE,6.94316641849726,114.4943224994,639.21
2026-05-21,002050.XSHE,4.510385756676549,162.31014146340002,52.83
2026-05-11,002156.XSHE,7.092819614711021,122.53539057200001,61.15
2026-06-03,002185.XSHE,4.528096017457739,130.2872008659,19.16
2026-05-18,002281.XSHE,6.824774797699629,140.4939790824,209.9
2026-05-25,002281.XSHE,3.756890721267414,159.80200557610002,223.98
2026-05-28,002281.XSHE,6.018746916625561,141.415485667,214.9
2026-06-05,002281.XSHE,3.1828073993471317,169.7795155343,227.58
2026-05-29,002436.XSHE,6.439185470555842,107.20578117379999,38.68
2026-06-04,002463.XSHE,8.48998459167949,150.6622944207,140.82
2026-05-11,300059.XSHE,3.855539287457299,122.0157388534,21.28
2026-05-11,300136.XSHE,14.03751233958539,122.384155894,115.52
2026-05-18,300136.XSHE,12.193652069104054,145.8682643304,111.7
2026-05-22,300136.XSHE,8.657534246575338,127.65083333,118.98
2026-05-15,300274.XSHE,13.271124935199573,252.6887099834,152.95
2026-05-19,300274.XSHE,3.369458128078806,159.6701264495,157.38
2026-06-02,300308.XSHE,5.469911504424774,341.6701741994,1191.81
2026-05-22,300394.XSHE,10.465288692506158,206.9116095134,372.5
2026-06-03,300433.XSHE,7.664322095561493,125.5986123781,44.39
2026-06-05,300433.XSHE,4.5142071494042035,102.99055681680001,45.61
2026-05-13,300442.XSHE,11.205953162617654,110.2058615056,101.62
2026-05-11,300475.XSHE,6.938459838691857,132.8920917081,193.58
2026-05-13,300476.XSHE,3.1883440321764267,177.5447123156,387.4
2026-05-22,300476.XSHE,13.307181653590838,289.9614757912,375.5
2026-05-22,300502.XSHE,7.2031802120141375,238.5679058545,606.77
2026-05-28,300502.XSHE,3.358273381294974,237.9843494229,718.34
2026-06-02,300502.XSHE,9.882027595539977,281.4377705964,747.0
2026-05-27,300750.XSHE,3.055900621118024,223.7335889711,414.8
2026-05-13,300857.XSHE,11.242931588867954,105.4851214418,300.99
2026-05-14,600105.XSHG,4.167470576885979,104.3900465597,53.99
2026-05-11,600111.XSHG,5.662100456621011,132.6792382239,57.85
2026-05-29,600519.XSHG,3.9201241398767905,100.3738821115,1326.0
2026-06-02,600522.XSHG,8.885503935008888,170.693907116,42.89
2026-05-13,600584.XSHG,4.073135409123818,121.69573850530001,57.49
2026-05-15,600584.XSHG,6.886392929478902,143.5140339534,58.05
2026-06-03,600584.XSHG,6.343729263437292,262.6914297658,80.13
2026-05-11,601138.XSHG,4.061314791403281,176.4551625372,65.85
2026-06-02,601899.XSHG,4.604173567406411,103.4779007809,31.58
2026-05-11,603986.XSHG,8.390036269895983,206.7384890522,361.6
2026-05-13,603986.XSHG,3.237593473827327,171.27399573719998,364.47
2026-05-15,603986.XSHG,5.375769674136133,227.9219675349,374.79
2026-05-22,603986.XSHG,8.530618869849516,289.3207244305,468.06
2026-05-13,688008.XSHG,7.519734108849208,208.2558248699,258.8
2026-05-20,688008.XSHG,4.12366962081665,191.292834335,257.3
2026-05-15,688012.XSHG,11.812509628716693,160.1852319216,290.31
2026-05-25,688012.XSHG,3.3437063381176024,169.4329752059,325.45
2026-05-11,688041.XSHG,8.0116307844593,186.4174395918,349.18
2026-05-25,688256.XSHG,9.370139968895796,240.28347134540002,1406.5
2026-05-28,688347.XSHG,15.787764945967254,105.4680260473,249.65
2026-05-11,688525.XSHG,8.689963849199511,165.7882188683,315.69
2026-05-13,688525.XSHG,6.31776547884908,150.0117590641,328.49
2026-05-18,688525.XSHG,8.096637283708796,167.8571613817,331.1
2026-06-03,688525.XSHG,3.49373764007912,130.3453842094,314.0
2026-05-28,688981.XSHG,5.115579264122538,248.22318598290002,153.7
